Number,Type,country,name,routes,Year,L(m),,,
79,icebreaker,Russia,Kapitan Khlebnikov9,West 1,2001,122,,79,TRUE
80,Dublin,Jarlath,Northabout (14Â·9 m yacht) Ireland,West 4,2001,14,,80,TRUE
81,46 m motor yacht,Cayman,Turmoil1,West 4,2001,46,,81,TRUE
82,12Â·8 m yacht,France,Nuage,East  5,2001-02,12,,82,TRUE
83,16Â·2 m yacht,Russia,Apostol Andrey,East  5,2002,16,,83,TRUE
84,icebreaker tug,Barbados,Arctic Kalvik,East  3,2002,88,,84,TRUE
85,ice strengthened ship,Bahamas,Hanseatic6,West 3,2002,122,,85,TRUE
86,icebreaker,Russia,Kapitan Khlebnikov10,East  3,2002,122,,86,TRUE
87,51 m yacht,Canada,Sedna IV,West 5,2002,51,,87,TRUE
88,ice strengthened ship,Bahamas,Bremen3,West 3,2003,111.51,,88,TRUE
89,icebreaker,United States,USCGC Healy2,West 3,2003,128,,89,TRUE
90,icebreaker,Russia,Kapitan Khlebnikov11,East  5,2003,122,,90,TRUE
91,12Â·9 m yacht,Britain,Norwegian Blue,East  5,2003,12,,91,TRUE
92,15Â·3 m yacht,France,Vagabond2,East  5,2003,15,,92,TRUE
93,27 m yacht,Germany,Dagmar Aaen2,East  5,2003-04,27,,93,TRUE
94,14Â·6 m motorboat,Britain,Polar Bound1,East  5,2003-04,14,,94,TRUE
95,icebreaker,Russia,Kapitan Khlebnikov12,East  5,2004,122,,95,TRUE
96,13Â·7 m yacht,Australia,Fine Tolerance,East  6,2004-05,13,,96,TRUE
97,17Â·3 m motorboat,Canada,Idlewild,East  6,2005,17,,97,TRUE
98,icebreaker,Russia,Kapitan Khlebnikov13,East  3,2005,122,,98,TRUE
99,icebreaker,Russia,Kapitan Khlebnikov14,West 3,2005,122,,99,TRUE
100,icebreaker,Sweden,Oden,West 3,2005,107.42,,100,TRUE
101,12Â·8 m yacht,Canada,Minke I,East  6,2003-06,12,,101,TRUE
102,ice-strengthened ship,Bahamas,Bremen4,West 4,2006,111.51,,102,TRUE
103,icebreaker,Russia,Kapitan Khlebnikov15,East  7,2006,122,,103,TRUE
104,13Â·6 m yacht,Poland,Nekton,West 6,2006,13,,104,TRUE
105,13*5 m yacht,Poland,Stary,West 6,2006,13,,105,TRUE
106,7Â·5 m catamaran,France,Babouche,East  5,2007,7,,106,TRUE
107,17Â·3 m ketch,United States,Cloud Nine,West 4,2007,17,,107,TRUE
108,ice strengthened ship,Bahamas,Hanseatic7,West 5,2007,122,,108,TRUE
109,icebreaker,Russia,Kapitan Khlebnikov16,East  5,2007,122,,109,TRUE
110,12Â·1 m yacht,Britain,Luck Dragon,West 3,2007,12,,110,TRUE
111,11Â·9 m yacht,United States,Arctic Wanderer,East  6,2005-08,11,,111,TRUE
112,23 m yacht,Spain,Amodino,East  4,2008,23,,112,TRUE
113,14Â·9 m yacht,Belgium,Baloum Gwen1,West 4,2008,14,,113,TRUE
114,10 m yacht,Australia,Berrimilla,East  4,2008,10,,114,TRUE
115,ice-strengthened ship,Bahamas,Bremen5,West 5,2008,111.51,,115,TRUE
116,cable layer,France,Peter Faber,East  3,2008,78.35,,116,TRUE
